,아파트,금액(만원),면적,층,주소
128,성광우방타운,18000,59.9,12,칠성동2가 127
129,그린빌4차,18000,59.83,14,구암동 788
130,부영5차,17400,59.85,11,구암동 789
131,부영6차,16700,60.22,6,구암동 789-1
132,그린빌1차,16400,59.39,9,국우동 1110
133,한일,16300,59.76,16,태전동 205-14
134,산격거평,16200,59.98,3,산격동 615-22
135,산격거평,16000,59.98,12,산격동 615-22
136,부영3차,16000,60.22,5,구암동 787-3
137,칠곡에덴타운,15900,60.0,1,태전동 997-1
138,그린빌4차,15850,59.83,1,구암동 788
139,그린빌6단지,15700,51.95,12,국우동 1080
140,칠곡한라타운2,15600,59.7,14,구암동 695
141,칠곡동서영남,15550,59.84,9,구암동 695-1
142,노원동화타운,15400,59.82,4,노원동2가 44
143,보성서한타운,15300,59.9,14,동천동 872
144,부영7차,15200,59.85,11,구암동 789-2
145,그린빌1차,15000,59.39,6,국우동 1110
146,그린빌3차,15000,49.71,7,구암동 786
147,칠곡동서영남,14800,59.84,11,구암동 695-1
148,그린빌3차,14250,49.71,17,구암동 786
149,그린빌3차,13750,49.71,14,구암동 786
150,삼남,13700,47.01,2,칠성동2가 302-265
151,칠곡한서타운,13500,59.85,15,읍내동 1234-7
152,두성파크2,13300,59.45,17,태전동 489
153,침산동화타운,13000,59.82,5,침산동 1414
154,칠곡목련,12860,50.22,3,읍내동 1171
155,보성서한타운,12700,42.68,12,동천동 872
156,보성서한타운,12200,42.68,7,동천동 872
157,유성청구,11750,47.85,12,검단동 887-8
158,민들레,11500,59.94,4,검단동 1128-3
159,보성서한타운,11000,42.68,14,동천동 872
160,유성청구,11000,47.85,9,검단동 887-8
161,칠곡관음타운,11000,59.78,1,태전동 1065-1
162,유성청구,10000,47.49,3,검단동 887-8
163,칠곡2동서타운,9500,39.87,9,구암동 655-3
164,칠곡한양2,9200,41.26,9,관음동 1370
165,산호한양,9000,36.18,10,읍내동 1351
166,유성청구,8000,35.1,15,검단동 887-8
