,아파트,금액(만원),면적,층,주소
41,센트럴파크대현,39500,84.26,24,대현동 535
42,센트럴파크대현,39300,84.64,20,대현동 535
43,복현푸르지오,39300,85.0,6,복현동 694
44,복현푸르지오,39300,85.0,15,복현동 694
45,침산동2차쌍용예가,39000,84.94,8,침산동 1750
46,영남네오빌아트,39000,84.85,8,동천동 913
47,SD아이프라임강북,39000,84.96,15,읍내동 1448
48,복현푸르지오,38500,85.0,7,복현동 694
49,대구역한라하우젠트센텀,38000,84.95,15,칠성동2가 738
50,오페라트루엘시민의숲아파트,38000,59.69,3,고성동3가 145
51,침산화성파크드림,38000,59.98,16,침산동 1761
52,센트럴파크대현,38000,84.26,4,대현동 535
53,복현푸르지오,38000,85.0,10,복현동 694
54,대구역서희스타힐스,38000,84.49,16,칠성동2가 715
55,대구역유림노르웨이숲,38000,84.92,5,칠성동2가 736
56,연경대광로제비앙더퍼스트,37500,84.98,9,연경동 994
57,한신더휴웨스턴팰리스,37200,69.98,24,매천동 750
58,대구노원한신더휴,37000,84.98,23,노원동3가 1227
59,e편한세상복현,37000,59.97,9,복현동 713
60,칠곡1차한라하우젠트,36500,84.97,20,학정동 980
61,화성그랜드파크,36500,84.98,14,구암동 785
62,침산동2차쌍용예가,36300,84.94,11,침산동 1750
63,오페라트루엘시민의숲아파트,36000,59.69,5,고성동3가 145
64,연경대광로제비앙더퍼스트,35500,84.98,16,연경동 994
65,연경금성백조예미지숲속의아침,35500,84.99,18,연경동 943
66,e편한세상복현,35000,59.97,8,복현동 713
67,대구역서희스타힐스,35000,84.49,13,칠성동2가 715
68,침산동2차쌍용예가,35000,84.94,7,침산동 1750
69,힐스테이트데시앙도남4단지,34800,72.86,16,국우동 1228
70,오페라삼정그린코아더베스트,34700,66.63,3,칠성동2가 733
71,연경동화아이위시,34300,84.95,14,연경동 987
72,화성센트럴파크,34100,84.99,15,동천동 950
73,연경우방아이유쉘더포레스트,34000,84.97,6,연경동 931
74,연경우방아이유쉘더포레스트,34000,84.97,10,연경동 931
75,연경우방아이유쉘더포레스트,34000,84.97,5,연경동 931
76,이진캐스빌,33700,84.87,18,태전동 1181
77,침산화성파크드림,33700,59.99,12,침산동 1761
78,화성센트럴파크,33500,84.99,13,동천동 950
79,협성휴포레강북,33500,72.97,17,태전동 1186
80,e편한세상복현,33500,59.97,4,복현동 713
81,한라스카이빌,33300,84.76,5,침산동 227-1
82,이진캐스빌,33200,84.87,6,태전동 1181
83,침산화성파크드림,33100,60.0,9,침산동 1761
84,연경대광로제비앙더퍼스트,33000,84.98,16,연경동 994
85,이진캐스빌,33000,84.87,3,태전동 1181
86,연경우방아이유쉘더포레스트,33000,84.97,11,연경동 931
87,협성휴포레강북,32500,72.93,23,태전동 1186
88,유니버시아드선수촌1단지,32300,109.88,7,동변동 697
89,학정역효성해링턴플레이스,32000,84.91,15,읍내동 1449
90,침산화성2,31900,112.96,3,침산동 123-1
91,대구노원한신더휴,31900,74.95,19,노원동3가 1227
92,협성휴포레강북,31200,72.97,9,태전동 1186
93,SD아이프라임강북,30800,84.96,13,읍내동 1448
94,대현뜨란채,30000,84.95,11,대현동 527
95,칠곡네스빌,30000,84.58,8,동천동 890
96,화성센트럴파크,30000,84.99,6,동천동 950
97,금호서한이다음,29800,84.55,14,사수동 833
98,SD아이프라임강북,29800,84.96,6,읍내동 1448
99,대현휴먼시아2단지,29700,84.96,3,대현동 531
100,부영1차,29500,81.16,18,국우동 1079
101,칠곡이편한세상,29500,84.96,1,읍내동 491
102,학정청아람,29200,84.62,25,학정동 925
103,강북화성파크드림,29000,84.93,4,태전동 420-5
104,이진캐스빌,29000,67.73,15,태전동 1181
105,칠곡2차한라하우젠트,29000,84.98,2,학정동 982
106,삼성,29000,133.35,12,태전동 608-5
107,매천센트럴파크,28800,84.59,7,매천동 741
108,매천센트럴파크,28800,84.59,7,매천동 741
109,대구노원한신더휴,28500,59.75,6,노원동3가 1227
110,매천센트럴파크,28000,84.67,9,매천동 741
111,대구노원한신더휴,27800,59.61,8,노원동3가 1227
112,동아침산2무지개,27700,84.74,4,침산동 233-3
113,학정청아람,27150,84.66,25,학정동 925
114,그린빌2차,27000,84.34,6,구암동 772
115,학정청아람,27000,77.1,14,학정동 925
116,학정청아람,27000,77.1,14,학정동 925
117,롯데캐슬오페라,27000,76.94,2,침산동 213-1
118,화성파크드림와이드,26750,84.99,10,태전동 198
119,복현3차서한이다음,26700,59.99,14,복현동 701
120,학정청아람,26600,84.66,14,학정동 925
121,매천센트럴파크,26400,84.58,1,매천동 741
122,그린빌2차,26000,84.34,14,구암동 772
123,부영6차,26000,81.16,3,구암동 789-1
124,이진캐스빌,25800,59.88,21,태전동 1181
125,이진캐스빌,25000,59.88,6,태전동 1181
126,강북화성파크드림,25000,84.98,1,태전동 420-5
127,그린빌2차,24900,84.34,12,구암동 772
128,브라운스톤강북,24500,84.95,21,사수동 789
129,대현뜨란채,24500,75.78,11,대현동 527
130,학정청아람,24100,84.66,1,학정동 925
131,럭키칠곡,24000,101.72,10,읍내동 1351-2
132,칠곡3화성타운,24000,75.28,13,동천동 915
133,유니버시아드선수촌2단지,23800,83.47,14,동변동 682
134,현대,23800,84.94,19,침산동 341-1
135,그린빌2차,23500,84.34,1,구암동 772
136,부영7차,23500,81.17,4,구암동 789-2
137,복현서한2,23500,84.86,9,복현동 160-7
138,침산쌍용,23500,59.84,6,침산동 400-1
139,학정청아람,23450,59.62,13,학정동 925
140,한일,22800,84.96,18,태전동 205-14
141,유니버시아드선수촌2단지,22500,73.28,6,동변동 682
142,부영3차,22500,81.16,7,구암동 787-3
143,유니버시아드선수촌2단지,22500,73.28,6,동변동 682
144,부영6차,22000,81.16,17,구암동 789-1
145,화성센트럴파크,21950,59.94,9,동천동 950
146,복현화성,21900,75.38,8,복현동 539-1
147,부영3차,21700,81.16,4,구암동 787-3
148,학정청아람,21500,59.62,14,학정동 925
149,부영5차,21000,81.17,11,구암동 789
150,화성센트럴파크,21000,59.94,11,동천동 950
151,산격대우,21000,59.87,6,산격동 500-1
152,부영5차,21000,81.17,10,구암동 789
153,주공그린빌8,21000,84.45,5,동변동 679
154,유니버시아드선수촌2단지,20700,73.28,9,동변동 682
155,동아침산2무지개,20580,59.76,2,침산동 233-3
156,화성센트럴파크,20500,59.94,5,동천동 950
157,복현서한2,20500,59.75,12,복현동 160-7
158,복현서한2,20500,59.75,12,복현동 160-7
159,칠곡3화성타운,20500,75.28,12,동천동 915
160,침산화성2,20500,59.91,8,침산동 123-1
161,신영푸른마을,20000,84.7,3,대현동 270-9
162,대현휴먼시아2단지,20000,51.81,1,대현동 531
163,대한동아무지개,20000,59.76,8,침산동 372-3
164,유니버시아드선수촌2단지,20000,73.28,1,동변동 682
165,칠곡현대아파트,20000,84.94,17,국우동 1110-3
166,금호서한이다음,20000,74.91,15,사수동 833
167,두산청구,19900,84.96,6,팔달동 52
168,칠곡한서타운,19700,84.97,4,읍내동 1234-7
169,금빛타운,19500,84.99,2,구암동 655
170,부영5차,19500,81.17,2,구암동 789
171,메트로캐슬,19300,84.94,2,침산동 293-12
172,칠곡2동서타운,19200,70.33,8,구암동 655-3
173,현대,19000,84.95,6,태전동 997
174,칠곡관음타운,19000,84.96,10,태전동 1065-1
175,주공그린빌8,18800,71.43,6,동변동 679
176,옥석타운,18700,59.91,10,침산동 286-1
177,옥석타운,18700,59.91,10,침산동 286-1
178,화성리버파크1,18600,59.97,9,서변동 1775
179,부영5차,18500,59.85,16,구암동 789
180,침산2청구타운,18500,59.91,13,침산동 363-1
181,우방타운,18250,85.0,15,태전동 169-2
182,보성서한타운,17500,59.9,8,동천동 872
183,칠곡보성,17300,84.98,4,읍내동 1366-2
184,침산2청구타운,17200,59.91,18,침산동 363-1
185,협화맨션,17200,84.97,11,태전동 881-3
186,현대전원,17000,84.99,7,태전동 532-1
187,대백인터빌,17000,59.67,6,팔달동 145
188,매천역더뉴클래스,17000,49.46,9,태전동 1212
189,동서리치모아,17000,59.96,1,서변동 1772
190,칠성세정드림빌,17000,85.0,4,칠성동2가 302-381
191,주공그린빌8,17000,59.83,14,동변동 679
192,칠곡동서영남,16900,59.84,13,구암동 695-1
193,태전3우방타운,16800,59.99,13,태전동 442
194,화성리버파크2,16800,59.97,8,서변동 1793
195,칠곡한서타운,16500,84.97,6,읍내동 1234-7
196,서변청아람,16500,59.95,6,서변동 1724
197,칠곡한서타운,16500,84.97,4,읍내동 1234-7
198,칠곡우방하이츠,16500,59.96,5,동천동 889
199,그린빌4차,16450,59.83,2,구암동 788
200,칠곡서한타운3,16400,59.87,11,구암동 655-1
201,한신중앙,16400,84.96,1,태전동 936-1
202,칠곡한서타운,16000,59.85,8,읍내동 1234-7
203,주공그린빌8,16000,59.83,4,동변동 679
204,럭키6,16000,68.7,4,복현동 365-1
205,태전역더뉴클래스,15850,49.32,3,태전동 206-10
206,태전역더뉴클래스,15850,49.32,3,태전동 206-10
207,칠곡건영,15700,59.72,10,구암동 695-2
208,협화맨션,15500,84.97,6,태전동 881-3
209,남영,15500,59.87,8,태전동 542-1
210,주공그린빌8,15400,59.83,11,동변동 679
211,현대전원,15400,76.29,7,태전동 532-1
212,칠곡3차보성,15300,59.98,13,읍내동 430
213,두산청구,15300,60.0,1,팔달동 52
214,부영7차,15200,59.85,5,구암동 789-2
215,그린빌6단지,15000,51.95,13,국우동 1080
216,칠곡우방,15000,84.93,2,읍내동 533
217,한일,15000,59.76,10,태전동 205-14
218,주공그린빌8,15000,59.83,5,동변동 679
219,그린빌6단지,15000,51.95,13,국우동 1080
220,그린빌6단지,15000,51.95,14,국우동 1080
221,칠곡한양2,14900,59.82,7,관음동 1370
222,칠곡동서영남,14800,59.84,7,구암동 695-1
223,그린빌3차,14500,49.71,6,구암동 786
224,칠곡동화타운,14500,59.9,10,관음동 1383-1
225,칠곡현대아파트,14400,59.96,6,국우동 1110-3
226,칠곡청구타운,14100,59.34,4,구암동 695-3
227,한일,14000,59.76,11,태전동 205-14
228,칠곡에덴타운,14000,60.0,14,태전동 997-1
229,그린빌6단지,14000,51.95,13,국우동 1080
230,코스모스한양,14000,59.82,9,읍내동 1366-3
231,코스모스한양,14000,59.82,12,읍내동 1366-3
232,그린빌6단지,13800,51.95,1,국우동 1080
233,그린빌1차,13800,59.39,5,국우동 1110
234,칠곡한서타운,13800,59.85,6,읍내동 1234-7
235,칠곡동서영남,13800,59.84,4,구암동 695-1
236,칠곡목련,13600,43.02,1,읍내동 1171
237,그린빌3차,13500,49.71,6,구암동 786
238,칠곡한라타운2,13400,59.7,10,구암동 695
239,삼우그린,13300,59.96,4,매천동 595-2
240,칠곡건영,13000,59.88,2,구암동 695-2
241,칠곡동화타운,13000,59.96,2,관음동 1383-1
242,칠곡관음타운,12850,59.78,16,태전동 1065-1
243,칠곡화성타운2차,12500,41.62,7,동천동 880-3
244,칠곡관음타운,12500,59.78,6,태전동 1065-1
245,노원동화타운,12300,59.82,11,노원동2가 44
246,그린빌3차,12000,39.77,3,구암동 786
247,유성청구,11000,47.49,13,검단동 887-8
248,그린빌3차,11000,39.77,6,구암동 786
249,유성청구,10950,47.85,6,검단동 887-8
250,유성청구,10500,47.49,10,검단동 887-8
251,한신중앙,10200,47.25,11,태전동 936-1
252,보성서한타운,9700,42.68,6,동천동 872
253,유성청구,9650,47.85,15,검단동 887-8
254,칠곡목련,9566,43.02,4,읍내동 1171
255,보성서한타운,9500,42.68,6,동천동 872
256,칠곡화성타운2차,9350,35.44,10,동천동 880-3
257,한신중앙,9200,47.25,6,태전동 936-1
258,칠곡목련,9200,43.02,2,읍내동 1171
259,한신중앙,8300,36.87,1,태전동 936-1
260,산격청구2,7700,31.6,4,산격동 1404-19
