,아파트,금액(만원),면적,층,주소
0,오페라트루엘시민의숲아파트,67000,115.26,16,고성동3가 145
1,침산1차푸르지오(2-2),66000,112.11,28,칠성동2가 2-2
2,명성푸르지오,62000,113.2,15,침산동 269-10
3,한신더휴이스턴팰리스,56000,101.85,17,매천동 753
4,코오롱하늘채1단지,55000,106.38,14,침산동 105-73
5,복현아이파크,54300,84.98,15,복현동 709
6,e편한세상복현,54000,84.99,12,복현동 713
7,코오롱하늘채2단지,53500,84.51,19,침산동 105-1
8,e편한세상복현,53500,84.99,15,복현동 713
9,e편한세상복현,53500,84.99,15,복현동 713
10,e편한세상복현,53300,84.99,7,복현동 713
11,e편한세상복현,52500,84.99,12,복현동 713
12,e편한세상복현,52500,84.99,1,복현동 713
13,침산화성파크드림,52000,84.97,37,침산동 1761
14,e편한세상복현,52000,84.99,6,복현동 713
15,대구역오페라W,51800,84.93,22,고성동1가 260
16,오페라트루엘시민의숲아파트,49500,84.72,17,고성동3가 145
17,오페라트루엘시민의숲아파트,47500,84.61,18,고성동3가 145
18,한신더휴웨스턴팰리스,47000,84.83,30,매천동 750
19,e편한세상복현,46000,74.99,6,복현동 713
20,한신더휴이스턴팰리스,45800,84.97,19,매천동 753
21,침산화성파크드림,45500,84.96,22,침산동 1761
22,e편한세상복현,45000,74.99,16,복현동 713
23,오페라트루엘시민의숲아파트,44800,75.43,20,고성동3가 145
24,오페라트루엘시민의숲아파트,44800,75.43,20,고성동3가 145
25,복현자이,44300,74.8,10,복현동 703
26,칠성동코오롱하늘채,43950,84.81,26,칠성동2가 723
27,협성휴포레강북,43200,85.0,20,태전동 1186
28,e편한세상복현,43150,74.99,2,복현동 713
29,한신더휴이스턴팰리스,43000,84.83,9,매천동 753
30,연경금성백조예미지숲속의아침,42000,101.99,16,연경동 943
31,힐스테이트데시앙도남3단지,41950,84.96,11,국우동 1234
32,한신더휴웨스턴팰리스,41800,84.97,20,매천동 750
33,한신더휴웨스턴팰리스,41700,84.97,5,매천동 750
34,대현e-편한세상,41000,84.97,12,대현동 521
35,한신더휴웨스턴팰리스,40500,84.97,13,매천동 750
36,한신더휴웨스턴팰리스,40400,84.97,23,매천동 750
37,한신더휴이스턴팰리스,40400,84.97,8,매천동 753
38,칠성동코오롱하늘채,40000,84.98,14,칠성동2가 723
39,강북태왕아너스더퍼스트,40000,84.95,16,읍내동 1452
40,강북태왕아너스더퍼스트,40000,84.95,16,읍내동 1452
