정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
엠파크타워,42026,5522,4696,5521,4696,1,340
여고입구,90232,514,526,502,526,12,34
여고입구,90233,1287,676,1283,676,4,65
여성의광장,38084,7228,5062,7226,5062,2,409
여성의광장,38085,5315,7416,5314,7416,1,424
여우고개,43980,12,130,12,130,0,4
여우고개,43981,72,56,72,56,0,4
여우별펜션,44142,6,8,6,8,0,0
여우재,35147,560,443,560,443,0,33
여의도역,19155,547,0,547,0,0,18
여의도역,19156,142,1279,142,1279,0,47
여의도환승센터,19007,9,723,9,723,0,24
여차리,43424,29,31,29,31,0,2
여차리,43472,36,53,35,53,1,2
여차리회관,43505,33,30,33,30,0,2
여차리회관,43525,45,21,36,21,9,2
역삼역.포스코타워역삼,23288,1147,1030,1147,1030,0,72
연락골,39662,5,23,5,23,0,0
연락골,39665,7,6,7,6,0,0
연리보건지소앞,90438,6,35,6,35,0,1
연리연화마을앞,90467,3,21,3,21,0,0
연리입구,43267,82,1,81,1,1,2
연리입구,43614,3,80,3,80,0,2
연리정미소,90441,2,11,2,11,0,0
연미고개,43198,0,102,0,102,0,3
연미고개,43711,84,0,84,0,0,2
연미정,43193,167,1,152,1,15,5
연미정,43621,0,94,0,94,0,3
연성교회,37278,5527,4553,5526,4553,1,336
연세농장,39851,94,5,94,5,0,3
연세대,39725,5567,9815,5567,9815,0,512
연세대,39861,8539,5301,8539,5301,0,461
연세대송도캠퍼스입구,38489,6924,4574,6924,4574,0,383
연세대앞,22022,0,10,0,10,0,0
연세대학교앞,22058,5464,28,5464,28,0,183
연수1동행정복지센터,38248,247,529,247,529,0,25
연수1동행정복지센터,38251,1185,1145,1185,1145,0,77
연수1차아파트,38187,5867,3056,5866,3056,1,297
연수2차아파트,38195,700,1404,700,1404,0,70
연수3동행정복지센터,38262,1492,791,1492,791,0,76
연수경찰서,38111,3402,2700,3395,2700,7,203
연수고등학교,38104,966,3111,966,3111,0,135
연수구청,38089,9059,4926,9059,4926,0,466
연수구청,38093,4538,11297,4538,11297,0,527
연수구청입구,38095,6006,5070,6004,5070,2,369
연수꿈담도서관,38103,9081,6128,9079,6128,2,506
연수대동아파트,38128,6607,11482,6607,11482,0,602
연수병원,38296,5121,2425,5121,2425,0,251
연수여자고등학교,38092,2944,3647,2943,3647,1,219
연수역,38506,1985,2562,1985,2562,0,151
연수역,38507,1173,1971,1173,1971,0,104
연수역북측입구,38572,1209,2013,1209,2013,0,107
연수역북측입구,38573,1843,1999,1843,1999,0,128
연수우체국,38280,7117,4758,7117,4758,0,395
연수우체국,38314,2382,1182,2382,1182,0,118
연수주공3차아파트,38188,4424,4468,4423,4468,1,296
연수중학교,38194,1906,1518,1906,1518,0,114
연수중학교,38196,1011,1052,1011,1052,0,68
연수초등학교,38290,11316,10003,11306,10003,10,710
연수초등학교,38293,4116,3868,4116,3868,0,266
연수한양1차아파트,38091,3032,5917,3032,5917,0,298
연안동행정복지센터(인천종합어시장),35063,162,11575,161,11575,1,391
연안부두(신선초등학교),35097,1372,3366,1366,3366,6,157
연안부두로삼거리,35754,3,777,3,777,0,26
연안부두바다쉼터,35049,955,23,936,23,19,32
연안부두어시장,35071,76,7450,76,7450,0,250
연안부두어시장,35072,8987,201,8952,201,35,306
연안아파트,35075,10915,2113,10894,2113,21,434
연안아파트,35076,1516,11633,1510,11633,6,438
연안여객터미널,35057,6508,47,6497,47,11,218
연안여객터미널,35061,33,4510,33,4510,0,151
연안여객터미널,90115,65,61,65,61,0,4
연안여객터미널,90116,42,101,42,101,0,4
연안여객터미널(제주행),35051,15,1089,9,1089,6,36
연안여객터미널(제주행),35052,1529,16,1526,16,3,51
연안여객터미널입구,35068,2409,70,2399,70,10,82
연안초등학교,35064,17662,246,17623,246,39,596
연안초등학교,35067,129,13694,127,13694,2,460
연지-기점,90256,873,847,873,847,0,57
연학초등학교,37137,7527,2203,7525,2203,2,324
연학초등학교,37138,1495,7178,1495,7178,0,289
연합의원,42186,4020,1535,4018,1535,2,185
연화중학교,38117,2787,3028,2787,3028,0,193
연화촌,90440,1,2,1,2,0,0
연흥아파트,37567,3855,4470,3850,4470,5,277
연흥아파트,37568,2614,7611,2613,7611,1,340
연희공원,42950,95,235,95,235,0,11
연희동광명아파트(사계절썰매장),42314,1734,1961,1734,1961,0,123
연희동광명아파트(사계절썰매장),42599,1415,2211,1411,2211,4,120
연희동행정복지센터,42311,734,1413,734,1413,0,71
연희동행정복지센터,42312,1528,1033,1528,1033,0,85
열우물사거리,40052,9,229,9,229,0,7
