정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
(구)주안2동치안센터,37302,6779,4811,6779,4811,0,386
(주)경동세라믹스,89146,663,31,663,31,0,23
(주)경인양행앞,42096,1239,856,1239,856,0,69
(주)경인양행앞,42097,1827,4329,1827,4329,0,205
(주)대한특수금속,39050,1306,80,1306,80,0,46
(주)두남,39135,203,49,203,49,0,8
(주)세모입구(린나이코리아),37585,1368,1853,1368,1853,0,107
(주)세모입구(린나이코리아),40893,473,823,473,823,0,43
(주)스킨이데아,89388,869,3124,869,3124,0,133
(주)스킨이데아,89389,3252,46,3252,46,0,109
(주)우리김치,39133,415,3253,415,3253,0,122
(주)우리김치,39134,2280,467,2280,467,0,91
(주)창원,39029,3579,2898,3579,2898,0,215
(주)창원,39030,3752,3937,3752,3937,0,256
(주)하나금속,39124,8,71,8,71,0,2
17사단.다임메가타운,40895,2110,4840,2110,4840,0,231
17사단입구,40832,7,510,6,510,1,17
2001아울렛,40154,3466,5446,3466,5446,0,297
2001아울렛,40159,31015,13063,31013,13063,2,1469
2001아울렛,40162,10355,20817,10350,20817,5,1039
2001아울렛부평점,40158,4264,4347,4264,4347,0,287
2차풍림아이원,42584,28,10970,28,10970,0,366
3단지,40736,206,1676,206,1676,0,62
3단지관리사무소,40107,1760,429,1760,429,0,72
41번구종점,42174,1761,5879,1761,5879,0,254
510번차고지,36145,957,620,957,620,0,52
540번종점,39470,3263,4039,3193,4039,70,243
6공단사거리,37577,275,2360,274,2360,1,87
6공단입구,37442,615,869,615,869,0,49
6공단입구,37443,954,1434,954,1434,0,79
8부두,35181,274,1660,274,1660,0,64
8부두,35182,1860,2644,1860,2644,0,150
BMX경기장,90459,0,5,0,5,0,0
BMX경기장,90477,0,16,0,16,0,0
CJ인천2공장,35591,418,3596,418,3596,0,133
CJ인천2공장,35592,2508,159,2508,159,0,88
E편한세상,42453,2605,1751,2605,1751,0,145
E편한세상,42649,1333,3567,1332,3567,1,163
E편한세상,42726,3846,1629,3844,1629,2,182
GM물류센터,40568,727,1320,727,1320,0,68
GS25편의점,36142,1095,2442,1081,2442,14,117
GS내리주유소,44130,2,0,2,0,0,0
GS내리주유소,44147,1,3,1,3,0,0
GS칼텍스,35168,553,40,552,40,1,19
GS칼텍스,35557,12,2283,12,2283,0,76
GS칼텍스,89220,113,586,113,586,0,23
GS칼텍스,89224,325,1908,325,1908,0,74
GS칼텍스주유소,39814,259,11,259,11,0,9
HD현대인프라코어,36081,783,1593,783,1593,0,79
HD현대인프라코어,36083,2322,886,2322,886,0,106
HD현대인프라코어후문,36077,7,790,7,790,0,26
HD현대인프라코어후문,36078,3551,597,3551,597,0,138
JC회관,37383,3589,3971,3589,3971,0,252
JST기술연구소,89491,3,2027,2,2027,1,67
JST기술연구소,89492,791,49,788,49,3,28
KCC아파트,42391,2021,1561,2021,1561,0,119
KG모빌리티인천서비스센터,36144,70,1238,70,1238,0,43
KG스틸,42008,2413,4129,2410,4129,3,218
KTX광명역4번출구,58057,1525,20,1525,20,0,51
KT부평지사,40381,10103,6973,10093,6973,10,569
KT부평지사,40384,7469,12847,7464,12847,5,677
KT서인천지사,42932,1586,2551,1586,2551,0,137
KT서인천지사,42933,1864,969,1864,969,0,94
KT송도지점,38568,698,383,698,383,0,36
KT온수분국,43523,726,257,726,257,0,32
KT인천공항지사,35095,306,144,306,144,0,15
KT인천공항지사,35109,6095,4265,6093,4265,2,345
KT인천지사,37415,6241,4931,6239,4931,2,372
KT인천지사,39319,8136,5235,8130,5235,6,445
KT중동지사,55081,900,190,900,190,0,36
KT중동지사,55082,218,1105,218,1105,0,44
LG마그나,89029,6461,2810,6461,2810,0,309
LG마그나,89264,3569,6379,3569,6379,0,331
LG물류센터,39043,373,107,373,107,0,16
LG물류센터,39044,89,537,89,537,0,20
LG전자(주),42297,5407,4850,5407,4850,0,341
LH1단지,35494,8634,3530,8634,3530,0,405
LH1단지,35495,4158,6355,4158,6355,0,350
LH49단지행복주택아파트,35768,661,1230,661,1230,0,63
LH49단지행복주택아파트,35769,1928,817,1928,817,0,91
LH7단지,35451,3535,1891,3535,1891,0,180
LH7단지,35452,2280,3806,2280,3806,0,202
LH미추홀3단지,37222,3558,6689,3554,6689,4,341
LH미추홀3단지,37635,6710,3146,6707,3146,3,328
NKG물류센터,89212,336,308,336,308,0,21
SH글로벌,41083,1108,432,1108,432,0,51
SH글로벌,41084,460,1855,460,1855,0,77
SK.GS주유소,89230,1383,1547,1383,1547,0,97
SK.GS주유소,89231,1734,1967,1734,1967,0,123
SKLPG충전사업소,35636,900,11,895,11,5,30
SKLPG충전사업소,35638,2,857,1,857,1,28
SK뷰아파트,42888,1352,4182,1352,4182,0,184
SK뷰아파트,42889,5769,1153,5769,1153,0,230
SK스카이뷰,37601,245,31732,245,31732,0,1065
SK스카이뷰104동,37587,6756,50,6756,50,0,226
SK스카이뷰109동,37607,7230,54,7230,54,0,242
SK인천석유화학,42767,1063,613,1063,613,0,55
SK인천석유화학,42768,444,841,444,841,0,42
SK주유소,42956,970,767,970,767,0,57
SK주유소앞,35287,1784,225,1782,225,2,66
SK주유소앞,35539,168,1557,168,1557,0,57
SK충전소,35085,19,2271,17,2271,2,76
e편한세상 정문,38624,21957,2194,21952,2194,5,805
e편한세상(109동 앞),32062,925,1319,925,1319,0,74
e편한세상(109동앞),38643,1003,536,1003,536,0,51
e편한세상1차(정문),35662,872,1434,872,1434,0,76
e편한세상1차(정문),35663,2134,834,2134,834,0,98
e편한세상계양,41037,13202,3687,13202,3687,0,562
e편한세상계양,41038,5161,13767,5160,13767,1,630
e편한세상부평그랑힐스정문,40928,3762,483,3762,483,0,141
e편한세상부평그랑힐스정문,40929,638,4911,638,4911,0,184
e편한세상부평그랑힐스후문,40930,2856,230,2856,230,0,102
e편한세상영종센텀베뉴정문,35510,1152,4382,1152,4382,0,184
e편한세상영종오션하임,35674,1685,620,1685,620,0,76
e편한세상영종오션하임,35761,699,1267,699,1267,0,65
e편한세상영종하늘도시,35646,374,432,374,432,0,26
e편한세상영종하늘도시,35647,162,346,162,346,0,16
e편한세상주안에듀서밋아파트,37158,2951,2169,2951,2169,0,170
e편한세상주안에듀서밋아파트,37159,740,3597,740,3597,0,144
gym80fitness,37081,2956,942,2954,942,2,129
㈜한슬,42814,0,120,0,120,0,4
가경공원,89365,1061,633,1061,633,0,56
가구단지사거리,37455,2717,3608,2716,3608,1,210
가구단지사거리,37456,2908,1911,2907,1911,1,160
가구전시장,42072,357,691,357,691,0,34
가구전시장,42074,826,500,826,500,0,44
가나안마을앞,43904,1,10,1,10,0,0
가나안마을앞,43905,20,1,20,1,0,0
가능포,43969,10,7,10,7,0,0
가능포,43970,4,41,4,41,0,1
가림고등학교,42078,14156,13385,14138,13385,18,918
가야,42807,1546,2,1546,2,0,51
가야,42808,11,1676,11,1676,0,56
가오대입구,80033,127,413,126,413,1,18
가오대입구,80034,99,691,97,691,2,26
가원초등학교,42952,6234,4391,6234,4391,0,354
가원초등학교,89118,2660,5620,2659,5620,1,276
가재우물터,35678,11,3,11,3,0,0
가재우물터,35700,5,14,4,14,1,0
가재울사거리,42039,2602,5643,2602,5643,0,274
가재울사거리,42042,8629,4835,8629,4835,0,448
가재울역1번출구,42035,1847,1066,1839,1066,8,97
가재울역2번출구,42033,14880,9465,14862,9465,18,811
가재울역3번출구,42032,9885,3109,9864,3109,21,433
가재울역4번출구,42034,2325,3020,2314,3020,11,178
가정(루원시티)역,89050,9125,56140,9125,56140,0,2175
가정(루원시티)역,89051,76239,12135,76239,12135,0,2945
가정(루원시티)역,89075,79641,95507,79628,95507,13,5838
가정(루원시티)역,89078,85101,72058,85088,72058,13,5238
가정3동성당,42226,334,2985,333,2985,1,110
가정LH3단지정문앞,89041,18489,4178,18484,4178,5,755
가정고등학교,42200,11900,3973,11853,3973,47,529
가정고등학교,42203,3098,8007,3090,8007,8,370
가정교,89502,103,1398,103,1398,0,50
가정교,89503,2394,341,2394,341,0,91
가정교차로,89390,818,987,818,987,0,60
가정교차로,89391,326,2300,326,2300,0,87
가정동성당,89102,3141,3442,3140,3442,1,219
가정동성당,89105,2382,1668,2381,1668,1,135
가정보금자리,89119,1895,781,1895,781,0,89
가정보금자리,89120,177,1726,177,1726,0,63
가정여자중학교,42041,1263,8178,1257,8178,6,314
가정여자중학교,89527,647,2173,640,2173,7,94
가정중앙시장역,42215,956,1435,956,1435,0,79
가정중앙시장역,42219,1279,1409,1279,1409,0,89
가정택지삼거리,89385,237,135,237,135,0,12
가정택지삼거리,89386,257,572,257,572,0,27
가정휴먼시아3단지,89186,932,1499,932,1499,0,81
가정휴먼시아3단지,89187,1478,980,1478,980,0,81
가좌2동행정복지센터,42073,5114,326,5111,326,3,181
가좌2동행정복지센터,42076,160,5956,156,5956,4,203
가좌3동행정복지센터,42075,12085,13692,12066,13692,19,859
가좌4동행정복지센터,42062,3339,1807,3339,1807,0,171
가좌고등학교,42060,14481,12663,14460,12663,21,904
가좌고등학교,42061,6022,8546,6017,8546,5,485
가좌공단,42526,32,10039,31,10039,1,335
가좌공단,42945,7426,376,7424,376,2,260
가좌교회,42055,2660,2880,2660,2880,0,184
가좌교회,42057,3785,3813,3785,3813,0,253
가좌녹지공원,42029,1561,3497,1554,3497,7,168
가좌녹지공원,42030,2035,1381,2032,1381,3,113
가좌농협,42066,8543,6666,8531,6666,12,506
가좌농협,42067,5809,6091,5798,6091,11,396
가좌동차고,42939,2452,387,2430,387,22,94
가좌동차고지,42522,48,1029,39,1029,9,35
가좌두산위브104동앞,42090,4411,3323,4411,3323,0,257
가좌사거리,42043,39,238,36,238,3,9
가좌사거리,42044,373,3190,370,3190,3,118
가좌진주아파트,42100,13674,29808,13662,29808,12,1449
가좌초등학교,42069,3925,4099,3925,4099,0,267
가좌초등학교,42070,4812,2366,4812,2366,0,239
가좌테니스장,37454,2116,965,2116,965,0,102
가좌테니스장,37457,823,1098,823,1098,0,64
가좌현대아파트,42130,7879,2078,7873,2078,6,331
가좌현대아파트,42133,781,8323,781,8323,0,303
가좌홈플러스(쌍마아파트),42101,11458,7214,11431,7214,27,622
가좌홈플러스(쌍마아파트),42103,6886,12636,6866,12636,20,650
가좌환경사업소,42631,7117,4478,7117,4478,0,386
가좌환경사업소 북측,89341,282,368,282,368,0,21
가좌환경사업소북측,89342,6,261,6,261,0,8
가천대학교,38270,1366,1362,1366,1362,0,90
가천대학교,38284,8103,3390,8103,3390,0,383
가천대학교(노인복지회관),38269,940,1272,940,1272,0,73
가천의대,43237,4,14,4,14,0,0
가천의대,43897,13,2,13,2,0,0
가톨릭대,43156,2,0,2,0,0,0
가톨릭대,43325,0,71,0,71,0,2
가현오일뱅크,42734,24,23,24,23,0,1
가현중학교,42722,3288,2884,3288,2884,0,205
가현초교앞(루에블리아파트),89242,1970,3524,1970,3524,0,183
가현초교앞(센트럴타운아파트),89243,4787,1206,4787,1206,0,199
각곡,43602,5,152,5,152,0,5
각곡,43772,172,14,166,14,6,6
간석4거리,39538,241,265,238,265,3,16
간석4동행정복지센터,39403,3691,7421,3691,7421,0,370
간석4동행정복지센터,39412,4810,2737,4810,2737,0,251
간석금호어울림아파트,39334,25169,13499,25151,13499,18,1288
간석남부역,37429,3976,984,3976,984,0,165
간석남부역,37435,10646,7049,10580,7049,66,589
간석남부역,37529,1704,3333,1703,3333,1,167
간석동용광경로당,39394,1031,590,1019,590,12,54
간석래미안.자이,39333,16197,17070,16185,17070,12,1108
간석북부역,39806,4423,96,4423,96,0,150
간석북부역,39807,25,2890,25,2890,0,97
간석북부역·우성1차,39368,13740,4942,13740,4942,0,622
간석북부역·우성1차,39370,5744,10800,5744,10800,0,551
간석사거리,39413,13317,9403,13306,9403,11,757
간석사거리,39414,4972,9827,4972,9827,0,493
간석사거리,39430,2694,2419,2679,2419,15,170
간석사거리(상인천중학교),39422,13182,28838,13132,28838,50,1400
간석사거리(상인천중학교),39426,32153,19707,32124,19707,29,1728
간석시장,39434,12780,29577,12709,29577,71,1411
간석시장,39436,55217,30965,55144,30965,73,2872
간석시장,39437,16373,22890,16373,22890,0,1308
간석오거리,39460,14708,15537,14706,15537,2,1008
간석오거리,39597,4677,3628,4672,3628,5,276
간석오거리(교원공제조합),39444,34271,29480,34237,29480,34,2125
간석오거리(인천웨딩홀),39406,7621,11206,7621,11206,0,627
간석오거리(인천웨딩홀),39423,33283,19912,33256,19912,27,1773
간석오거리역(7번출구),39447,16347,33299,16329,33299,18,1654
간석오거리역(8번출구),39449,61841,71706,61824,71706,17,4451
간석지구대,39535,670,735,666,735,4,46
간석지구대,39536,636,806,630,806,6,48
간석풍림아파트,92053,641,700,641,700,0,44
간석한신더휴아파트맞은편,37447,2555,527,2555,527,0,102
간재울초등학교,42347,5515,3841,5515,3841,0,311
간촌,43504,29,34,29,34,0,2
간촌,43518,31,27,31,27,0,1
갈산대동아파트,40550,276,803,276,803,0,35
갈산동아아파트,40567,1864,1805,1864,1805,0,122
갈산동입구,40622,58,4318,58,4318,0,145
갈산동천주교회,40652,801,4911,801,4911,0,190
갈산동천주교회맞은편,40650,6442,5201,6442,5201,0,388
갈산두산아파트,40544,4666,6151,4666,6151,0,360
갈산사거리,40631,2341,4389,2341,4389,0,224
갈산사거리,40634,2965,4476,2965,4476,0,248
갈산새마을금고,40635,8482,2194,8482,2194,0,355
갈산시장,40628,6450,5807,6449,5807,1,408
갈산시장.갈산도서관,40629,1968,5337,1968,5337,0,243
갈산역,40601,34779,11818,34778,11818,1,1553
갈산역,40602,9209,42487,9208,42487,1,1723
갈산역(1번출구),40604,21653,6682,21637,6682,16,944
갈산역(부평4공단)4번출구,40606,6490,17524,6488,17524,2,800
갈산주공1단지,40578,3274,2310,3274,2310,0,186
갈산주공1단지105동,40813,4580,2803,4580,2803,0,246
갈산주공2단지,40562,608,1295,608,1295,0,63
갈산주공2단지,40577,3980,7200,3976,7200,4,372
갈산태화아파트,40542,674,1011,674,1011,0,56
갈산태화아파트,40664,3553,685,3553,685,0,141
갈산태화아파트,40666,214,1433,214,1433,0,54
갈산태화아파트,40667,532,2599,532,2599,0,104
갈월초등학교,40531,174,1131,174,1131,0,43
갈현경로당,41491,58,377,58,377,0,14
갈현경로당앞,41607,221,39,221,39,0,8
갈현교,41608,11,2,11,2,0,0
갈현교,41609,0,9,0,9,0,0
갈현교입구,41492,187,48,187,48,0,7
갈현교입구,41617,17,173,17,173,0,6
갈현동마을,41351,619,668,619,668,0,42
갈현동마을,41352,232,1003,232,1003,0,41
갑곶돈대.강화전쟁박물관,43365,10,7,10,7,0,0
갑곶돈대.강화전쟁박물관,43728,1,16,1,16,0,0
갑곶돈대입구,43367,1,4,1,4,0,0
갑곶돈대입구,43726,11,3,11,3,0,0
갑륭초교,43374,3,2,2,2,1,0
갑륭초교,43724,5,153,5,153,0,5
갑문,35125,24,476,24,476,0,16
갑문,35504,257,8,257,8,0,8
강남시장,42172,18297,13243,18282,13243,15,1051
강남시장,42173,12059,11250,12047,11250,12,776
강남역도시에빛,31076,4632,5639,4632,5639,0,342
강남역서초현대타워앞,31016,39513,23635,39513,23635,0,2104
강남중교,43213,182,19,182,19,0,6
강남중교,43278,21,257,21,257,0,9
강서구청사거리.서울디지털대학교(중),16007,947,300,947,300,0,41
강서구청사거리.서울디지털대학교(중),16008,424,1018,424,1018,0,48
강서중학교,43660,10,92,10,92,0,3
강서중학교,43898,115,3,113,3,2,3
강인여객,40020,1065,1457,1065,1457,0,84
강인여객,40022,1113,771,1113,771,0,62
강화갯벌장어,43633,1,2,1,2,0,0
강화갯벌장어,43671,0,8,0,8,0,0
강화경찰서,43209,206,27,199,27,7,7
강화경찰서,43624,6,222,6,222,0,7
강화고등학교,43564,5,92,5,92,0,3
강화고등학교,43761,66,123,66,123,0,6
강화군 행복센터,43055,177,1939,177,1939,0,70
강화군 행복센터,43056,1,305,1,305,0,10
강화군노인문화센터,90373,18,37,18,37,0,1
강화군노인문화센터,90374,52,2,52,2,0,1
강화군청,43065,3905,906,3836,906,69,160
강화군청,43108,974,2627,965,2627,9,120
강화루지.강남상회,43150,124,67,124,67,0,6
강화루지.강남상회,43250,75,153,75,153,0,7
강화마니산,43001,27,66,27,66,0,3
강화마니산,43002,479,189,477,189,2,22
강화문화원.종합전시관,43097,5,47,5,47,0,1
강화문화원.종합전시관,43098,132,675,129,675,3,26
강화병원,43088,27,3436,27,3436,0,115
강화병원,43089,2106,55,2105,55,1,72
강화산단,90123,0,10,0,10,0,0
강화산단,90124,0,1,0,1,0,0
강화산단입구,90096,10,36,8,36,2,1
강화산단입구,90097,20,0,20,0,0,0
강화산성서문,43080,9,118,9,118,0,4
강화산성서문,43081,63,118,63,118,0,6
강화서문,43063,1001,520,997,520,4,50
강화서문,43064,398,708,378,708,20,36
강화소방서,43364,45,268,44,268,1,10
강화소방서,43587,265,56,263,56,2,10
강화수양관앞,43467,54,21,54,21,0,2
강화수양관앞,43732,12,45,12,45,0,1
강화슈퍼,43066,647,1181,641,1181,6,60
강화슈퍼,43068,1478,502,1429,502,49,66
강화실버케어스앞,43975,19,177,19,177,0,6
강화실버케어스앞,43976,31,58,31,58,0,2
강화여자중학교,90334,3,166,3,166,0,5
강화여자중학교,90481,37,20,37,20,0,1
강화역사박물관(고인돌),43601,301,37,287,37,14,11
강화역사박물관(고인돌),43670,39,393,39,393,0,14
강화장례식장,43918,1472,216,1462,216,10,56
강화장례식장,43946,45,2036,44,2036,1,69
강화중학교,43207,28,41,28,41,0,2
강화중학교,43623,5,84,4,84,1,2
강화터미널,43057,5,392,5,392,0,13
강화터미널,43058,181,706,180,706,1,29
강화터미널,43096,66660,44236,65828,44236,832,3696
개항동 어울터,35197,8705,1903,8705,1903,0,353
개항동 어울터,35198,2122,8592,2122,8592,0,357
개화119안전센터,25023,40,1726,40,1726,0,58
개화119안전센터,25024,2064,42,2064,42,0,70
개화역1번출구.개화검문소,25030,386,8849,386,8849,0,307
개화역1번출구.개화검문소,25031,2928,396,2927,396,1,110
개화역광역환승센터,25182,1222,2024,1222,2024,0,108
갤러리84입구,35666,36,3,36,3,0,1
갤러리84입구,35667,16,32,16,32,0,1
갯벌슈퍼,43410,4,25,4,25,0,0
갯벌슈퍼,43513,10,1,9,1,1,0
거북시장,42132,12862,11376,12845,11376,17,807
거북시장,42136,11930,10445,11919,10445,11,745
거산정공.(주)록키,39137,1941,2453,1941,2453,0,146
거잠포선착장,35302,60,249,60,249,0,10
거잠포선착장,35303,232,101,231,101,1,11
거잠포회센터,35588,91,42,91,42,0,4
건설기술교육원,39353,6314,11501,6314,11501,0,593
건설기술교육원,39354,5423,4515,5423,4515,0,331
건영아파트·나사렛국제병원,38069,16068,41768,16060,41768,8,1927
건일아파트,43015,579,324,575,324,4,30
건일아파트,43094,312,402,307,402,5,23
건지사거리,42882,96,0,96,0,0,3
건지사거리,42883,0,249,0,249,0,8
건평,43168,104,37,101,37,3,4
건평,43186,2,33,2,33,0,1
건평리,43187,32,5,31,5,1,1
건평리,43651,5,36,5,36,0,1
건평마을회관,43594,34,52,34,52,0,2
건평입구,43170,5,5,5,5,0,0
건평입구,43331,8,16,8,16,0,0
걸포북변역,35560,613,7111,613,7111,0,257
걸포북변역,35610,3162,678,3162,678,0,128
걸포사거리.김포우리병원,35657,104,652,104,652,0,25
걸포사거리.우리병원,35561,722,165,722,165,0,29
검단1차피오레·금호어울림아파트,89457,704,317,704,317,0,34
검단1차피오레·금호어울림아파트,89458,105,815,105,815,0,30
검단LH13단지후문,89558,116,382,116,382,0,16
검단LH13단지후문,89559,92,505,92,505,0,19
검단LH26단지아파트,89545,329,4158,329,4158,0,149
검단LH26단지후문,89552,152,135,152,135,0,9
검단LH26단지후문,89553,121,161,121,161,0,9
검단LH36단지,89548,348,95,348,95,0,14
검단LH36단지,89549,354,817,354,817,0,39
검단LH행복주택,89408,11829,3830,11829,3830,0,521
검단공구상가,89053,48,683,48,683,0,24
검단공구상가,89065,523,208,523,208,0,24
검단금호어울림센트럴아파트,89546,2497,377,2497,377,0,95
검단노인복지관,42695,198,525,197,525,1,24
검단농기구센터,89316,77,2,77,2,0,2
검단농기구센터,89324,2,169,2,169,0,5
검단농협,42432,25620,8574,25607,8574,13,1139
검단농협,42434,5785,14752,5773,14752,12,684
검단대성베르힐,89467,2022,752,2022,752,0,92
검단동행정복지센터(검단고교),42441,3717,7976,3708,7976,9,389
검단동행정복지센터(검단고교),42445,4466,4455,4460,4455,6,297
검단디에트르리버파크,89476,960,5174,960,5174,0,204
검단디에트르리버파크,89477,4157,993,4157,993,0,171
검단로제비앙라포레,89483,4575,710,4575,710,0,176
검단로지스틱스파크,41339,1728,631,1720,631,8,78
검단로지스틱스파크,42395,629,4103,629,4103,0,157
검단메가박스,42383,1887,1677,1887,1677,0,118
검단메가박스,42384,464,1030,464,1030,0,49
검단모아미래도엘리트,89466,1408,3433,1408,3433,0,161
검단모아엘가그랑데아파트,42483,9039,1517,9039,1517,0,351
검단사거리역,42419,16482,15268,16469,15268,13,1058
검단사거리역,42426,2245,9302,2244,9302,1,384
검단사거리역,42427,8746,3345,8732,3345,14,403
검단사거리역,42537,12456,14691,12444,14691,12,904
검단소방서,42428,1354,4492,1353,4492,1,194
검단소방서,42431,284,2252,283,2252,1,84
검단소방서후문,89550,0,180,0,180,0,6
검단신도시예미지더시그너스,89415,352,408,352,408,0,25
검단신도시예미지더시그너스,89416,342,2090,342,2090,0,81
검단신도시우미린리버포레,89409,5345,11021,5345,11021,0,545
검단신안인스빌어반퍼스트,89511,2409,55,2409,55,0,82
검단신안인스빌어반퍼스트,89512,136,1415,136,1415,0,51
검단예미지트리플에듀,89543,2475,4398,2475,4398,0,229
검단예미지트리플에듀,89551,236,179,236,179,0,13
검단예미지트리플에듀아파트,89484,300,1027,300,1027,0,44
검단오류공단,42702,11,610,11,610,0,20
검단오류공단,42703,224,8,224,8,0,7
검단오류역,89057,6671,711,6669,711,2,246
검단오류역,89060,724,6405,721,6405,3,237
검단오류역우방아이유쉘,89067,655,1007,655,1007,0,55
검단오류역우방아이유쉘,89068,1243,459,1243,459,0,56
검단오류풍림아이원,89251,181,372,181,372,0,18
검단오류풍림아이원,89252,444,165,444,165,0,20
검단우미린더헤리티지,89525,210,234,210,234,0,14
검단우미린더헤리티지,89526,240,827,240,827,0,35
검단우미린파크뷰1단지,89499,1283,412,1283,412,0,56
검단우미린파크뷰1단지,89500,287,216,287,216,0,16
검단우미린파크뷰2단지,89469,5519,2204,5519,2204,0,257
검단우미린파크뷰2단지,89501,2819,4239,2819,4239,0,235
검단우방아이유쉘아파트,42688,357,823,355,823,2,39
검단원흥아파트,42400,1758,1070,1758,1070,0,94
검단원흥아파트,42401,1171,2881,1168,2881,3,135
검단유승한내들에듀파크정문,89567,637,1251,637,1251,0,62
검단지식산업센타,89054,7133,194,7131,194,2,244
검단지식산업센타,89063,218,5114,218,5114,0,177
검단초등학교,42475,8147,3628,8139,3628,8,392
검단초등학교,42482,3498,3925,3498,3925,0,247
검단초등학교,89332,168,127,167,127,1,9
검단초등학교,89333,108,192,104,192,4,10
검단출장소,42423,13971,11490,13971,11490,0,848
검단출장소,42424,4805,9196,4805,9196,0,466
검단탑종합병원,42877,531,508,531,508,0,34
검단하나아파트,42421,2806,570,2805,570,1,112
검단하나아파트,42422,534,706,532,706,2,41
검단한신더휴캐널파크1103동,89404,10902,9940,10902,9940,0,694
검단한신더휴캐널파크1103동,89405,11768,11507,11768,11507,0,775
검단한신더휴캐널파크정문,89566,2081,673,2081,673,0,91
검단힐스테이트5차아파트,42557,6,167,6,167,0,5
검단힐스테이트5차아파트,42558,307,688,307,688,0,33
검문소,43662,3,5,2,5,1,0
검문소,43812,5,89,5,89,0,3
검문소,90042,1,5,1,5,0,0
검문소,90043,27,124,27,124,0,5
검바위역,42348,4794,1022,4794,1022,0,193
검바위역,42349,1269,4979,1268,4979,1,208
검암경서동행정복지센터,42352,2434,5329,2434,5329,0,258
검암경서동행정복지센터,42353,6128,2105,6128,2105,0,274
검암사거리,42356,2648,4445,2645,4445,3,236
검암사거리,42357,5919,2279,5918,2279,1,273
검암사거리,42358,7261,2127,7261,2127,0,312
검암역(시내방면),42364,10259,397,10256,397,3,355
검암역(원당방면),42363,4758,28524,4755,28524,3,1109
검암역.서해그랑블아파트,42360,7061,5634,7061,5634,0,423
검암역로열파크씨티푸르지오1단지,89167,11682,71,11670,71,12,391
검암역로열파크씨티푸르지오1단지,89168,21,9926,21,9926,0,331
검암역로열파크씨티푸르지오2단지,89169,2003,1504,2002,1504,1,116
검암역로열파크씨티푸르지오2단지,89170,34,4882,34,4882,0,163
검암역입구,42851,21452,9157,21448,9157,4,1020
검암역입구,42852,13336,15507,13335,15507,1,961
검암역입구(시천교밑),89250,12600,3004,12600,3004,0,520
검암중학교,42359,3522,1825,3522,1825,0,178
검암중학교,42362,2254,2659,2254,2659,0,163
검암초등학교,42361,460,5880,460,5880,0,211
겐트대학교글로벌캠퍼스,38769,116,0,116,0,0,3
겐트대학교글로벌캠퍼스,38770,70,726,70,726,0,26
경기국제통상고.포도마을뉴서울.중앙공원,55042,630,1658,630,1658,0,76
경기국제통상고.포도마을뉴서울.중앙공원,55043,1137,923,1137,923,0,68
경기도교육청학생교육원,43162,1,93,1,93,0,3
경기도교육청학생교육원,43222,154,21,153,21,1,5
경기주유소,43051,126,473,125,473,1,19
경남1차,40343,8011,413,7938,413,73,280
경남1차아파트,40376,12634,7427,12630,7427,4,668
경남2차,40305,8717,78,8694,78,23,293
경남아너스빌,42099,3028,1613,3028,1613,0,154
경남아너스빌,42102,1411,2619,1410,2619,1,134
경남아너스빌아파트,42110,5816,3043,5816,3043,0,295
경남아너스빌아파트,42111,1790,2897,1790,2897,0,156
경남아파트,35143,7878,3116,7864,3116,14,366
경남아파트,35147,1919,3329,1915,3329,4,174
경남아파트,38281,7846,7654,7845,7654,1,516
경남아파트,41011,14379,3917,14366,3917,13,609
경남아파트,41014,3850,7753,3849,7753,1,386
경남아파트,42332,6872,3601,6872,3601,0,349
경남아파트,42334,3315,7022,3315,7022,0,344
경남아파트308동앞,40334,48,6085,42,6085,6,204
경남아파트311동앞,40300,30,4828,30,4828,0,161
경남아파트313동앞,40287,55,9359,38,9359,17,313
경동택배,89315,43,4,43,4,0,1
경동택배,89325,0,29,0,29,0,0
경명초등학교,89216,1537,594,1537,594,0,71
경명초등학교,89277,5431,7735,5431,7735,0,438
경명초등학교,89278,4309,6829,4309,6829,0,371
경방신약,39136,4292,1294,4292,1294,0,186
경복예식장,39399,10161,5160,10137,5160,24,510
경서농원,42333,162,575,162,575,0,24
경서농원,42335,64,1118,64,1118,0,39
경서지구입구,42303,1177,6329,1177,6329,0,250
경서지구입구,42671,2762,2500,2762,2500,0,175
경서지구입구,42672,3552,3352,3552,3352,0,230
경서초등학교,42569,4147,2608,4147,2608,0,225
경서초등학교,42570,2698,2830,2698,2830,0,184
경신마을,39646,132,144,132,144,0,9
경신마을,39982,74,388,74,388,0,15
경신아파트,41216,1922,920,1922,920,0,94
경신아파트,41223,1714,3274,1714,3274,0,166
경연초중학교,89271,7056,3628,7056,3628,0,356
경연초중학교,89272,3158,5681,3158,5681,0,294
경연초중학교·청라센텀로제비앙,89286,3303,1567,3302,1567,1,162
경연초중학교·호반베르디움6차,89285,2161,2282,2161,2282,0,148
경인계량소,42549,949,1,949,1,0,31
경인계량소,42550,6,831,6,831,0,27
경인교대.부평향교,41138,914,1147,914,1147,0,68
경인교대.부평향교,41139,1015,950,1015,950,0,65
경인교대역입구,41428,8444,7041,8444,7041,0,516
경인교대역입구,41429,7733,8693,7733,8693,0,547
경인교회앞,40077,852,3156,852,3156,0,133
